"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"59","15115 WILDFLOWER WAY",0.02,0.03,0.04,0.06,0.1,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Byberry","-74.9858069683148","40.1198621020972",c(-74.9858069683148, 40.1198621020972)
"60","15113 WILDFLOWER WAY",0.02,0.03,0.04,0.06,0.1,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Byberry","-74.9861361317629","40.1196675637783",c(-74.9861361317629, 40.1196675637783)
"61","15105 WILDFLOWER WAY",0.02,0.03,0.04,0.06,0.09,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Byberry","-74.9864386756032","40.119434987976",c(-74.9864386756032, 40.119434987976)
"62","15109 WILDFLOWER WAY",0.02,0.03,0.04,0.06,0.1,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Byberry","-74.9862874512135","40.1195512392685",c(-74.9862874512135, 40.1195512392685)
"63","13008 TOWNSEND RD",0.03,0.04,0.06,0.09,0.14,0.16,0.23,0.31,0.4,0.51,0.16,0.23,0.31,0.4,0.51,"Byberry","-74.9775305511484","40.1085863794751",c(-74.9775305511484, 40.1085863794751)
"64","15103 WILDFLOWER WAY",0.02,0.03,0.04,0.06,0.09,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Byberry","-74.9865142875852","40.1193768627049",c(-74.9865142875852, 40.1193768627049)
"65","13006 TOWNSEND RD",0.03,0.04,0.06,0.09,0.14,0.16,0.23,0.31,0.4,0.51,0.16,0.23,0.31,0.4,0.51,"Byberry","-74.9775305511484","40.1085863794751",c(-74.9775305511484, 40.1085863794751)
"66","2678 IRIS LN",0.02,0.03,0.05,0.07,0.11,0.21,0.29,0.39,0.49,0.59,0.21,0.29,0.39,0.49,0.59,"Byberry","-74.9859700869599","40.1216731554981",c(-74.9859700869599, 40.1216731554981)
"67","15049 SUNFLOWER DR",0.02,0.03,0.04,0.07,0.1,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Byberry","-74.9886761521358","40.1183344109735",c(-74.9886761521358, 40.1183344109735)
"68","2662 BLUEBELL CT",0.03,0.04,0.06,0.1,0.14,0.11,0.15,0.22,0.29,0.39,0.11,0.15,0.22,0.29,0.39,"Byberry","-74.9843006511955","40.1225789531534",c(-74.9843006511955, 40.1225789531534)
"69","15030 SUNFLOWER DR",0.02,0.03,0.04,0.06,0.1,0.2,0.27,0.36,0.46,0.57,0.2,0.27,0.36,0.46,0.57,"Byberry","-74.9893929567315","40.1182131542638",c(-74.9893929567315, 40.1182131542638)
"70","2660 BLUEBELL CT",0.02,0.03,0.05,0.07,0.11,0.21,0.29,0.39,0.49,0.59,0.21,0.29,0.39,0.49,0.59,"Byberry","-74.9841840346248","40.1224771656577",c(-74.9841840346248, 40.1224771656577)
"71","2682 BLUEBELL CT",0.02,0.03,0.05,0.07,0.11,0.21,0.29,0.39,0.49,0.59,0.21,0.29,0.39,0.49,0.59,"Byberry","-74.9849598568898","40.1222218905806",c(-74.9849598568898, 40.1222218905806)
"72","15151 WILDFLOWER WAY",0.02,0.03,0.04,0.06,0.1,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Byberry","-74.9842804820847","40.12091329101",c(-74.9842804820847, 40.12091329101)
"73","15093 SUNFLOWER DR",0.02,0.03,0.04,0.06,0.1,0.2,0.28,0.37,0.48,0.58,0.2,0.28,0.37,0.48,0.58,"Byberry","-74.9866951402115","40.1200577518179",c(-74.9866951402115, 40.1200577518179)
"74","2658 BLUEBELL CT",0.02,0.03,0.05,0.07,0.11,0.21,0.29,0.39,0.49,0.59,0.21,0.29,0.39,0.49,0.59,"Byberry","-74.9840649888302","40.1223742257148",c(-74.9840649888302, 40.1223742257148)
"75","15110 WILDFLOWER WAY",0.02,0.03,0.04,0.06,0.1,0.2,0.28,0.37,0.48,0.58,0.2,0.28,0.37,0.48,0.58,"Byberry","-74.9866146858035","40.1198534954057",c(-74.9866146858035, 40.1198534954057)
"76","15008 DAHLIA DR",0.02,0.03,0.05,0.08,0.12,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Byberry","-74.9914418998893","40.1179773117708",c(-74.9914418998893, 40.1179773117708)
"77","15160 SUNFLOWER DR",0.02,0.03,0.04,0.07,0.1,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Byberry","-74.9844754355043","40.1221593066746",c(-74.9844754355043, 40.1221593066746)
"78","15091 SUNFLOWER DR",0.02,0.03,0.04,0.06,0.1,0.2,0.28,0.37,0.48,0.58,0.2,0.28,0.37,0.48,0.58,"Byberry","-74.9867879972825","40.1199863698142",c(-74.9867879972825, 40.1199863698142)
"79","15143 WILDFLOWER WAY",0.02,0.03,0.04,0.06,0.1,0.22,0.29,0.39,0.49,0.6,0.22,0.29,0.39,0.49,0.6,"Byberry","-74.9845878186857","40.1207016541733",c(-74.9845878186857, 40.1207016541733)
"80","15112 WILDFLOWER WAY",0.02,0.03,0.04,0.06,0.1,0.2,0.28,0.37,0.48,0.58,0.2,0.28,0.37,0.48,0.58,"Byberry","-74.986521828732","40.1199248772702",c(-74.986521828732, 40.1199248772702)
"81","13059 TOWNSEND RD",0.03,0.04,0.06,0.09,0.14,0.12,0.17,0.23,0.32,0.41,0.12,0.17,0.23,0.32,0.41,"Byberry","-74.9775305511484","40.1085863794751",c(-74.9775305511484, 40.1085863794751)
"82","15149 WILDFLOWER WAY",0.02,0.03,0.04,0.06,0.1,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Byberry","-74.9843548277077","40.1208620964462",c(-74.9843548277077, 40.1208620964462)
"83","2678 BLUEBELL CT",0.02,0.03,0.04,0.07,0.1,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Byberry","-74.98553454398","40.1223858080743",c(-74.98553454398, 40.1223858080743)
"84","2682 FOXGLOVE LN",0.02,0.03,0.05,0.07,0.11,0.21,0.29,0.39,0.49,0.59,0.21,0.29,0.39,0.49,0.59,"Byberry","-74.9864057281383","40.1209574942623",c(-74.9864057281383, 40.1209574942623)
"85","15090 WILDFLOWER WAY",0.02,0.03,0.04,0.06,0.09,0.2,0.28,0.37,0.48,0.58,0.2,0.28,0.37,0.48,0.58,"Byberry","-74.98742622345","40.1192295934187",c(-74.98742622345, 40.1192295934187)
"86","15152 WILDFLOWER WAY",0.02,0.03,0.04,0.06,0.1,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Byberry","-74.9846179755101","40.1211834666891",c(-74.9846179755101, 40.1211834666891)
"87","15165 SUNFLOWER DR",0.02,0.03,0.04,0.06,0.1,0.21,0.29,0.39,0.49,0.59,0.21,0.29,0.39,0.49,0.59,"Byberry","-74.9839152178542","40.122257809154",c(-74.9839152178542, 40.122257809154)
"88","15081 SUNFLOWER DR",0.02,0.03,0.04,0.06,0.1,0.2,0.28,0.37,0.48,0.58,0.2,0.28,0.37,0.48,0.58,"Byberry","-74.9875067386301","40.1194338398787",c(-74.9875067386301, 40.1194338398787)
"89","15145 WILDFLOWER WAY",0.02,0.03,0.04,0.06,0.1,0.22,0.29,0.39,0.49,0.6,0.22,0.29,0.39,0.49,0.6,"Byberry","-74.9845035174811","40.1207597062455",c(-74.9845035174811, 40.1207597062455)
"90","15079 SUNFLOWER DR",0.02,0.03,0.04,0.06,0.09,0.2,0.28,0.37,0.48,0.58,0.2,0.28,0.37,0.48,0.58,"Byberry","-74.987599460978","40.1193625243043",c(-74.987599460978, 40.1193625243043)
"91","15147 WILDFLOWER WAY",0.02,0.03,0.04,0.06,0.1,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"Byberry","-74.9844291720826","40.1208109009058",c(-74.9844291720826, 40.1208109009058)
"92","2683 HONEYSUCKLE LN",0.03,0.05,0.07,0.11,0.16,0.18,0.24,0.33,0.43,0.53,0.18,0.24,0.33,0.43,0.53,"Byberry","-74.9865378161456","40.1206507269048",c(-74.9865378161456, 40.1206507269048)
"93","2674 IRIS LN",0.03,0.05,0.07,0.11,0.17,0.18,0.24,0.33,0.43,0.53,0.18,0.24,0.33,0.43,0.53,"Byberry","-74.9862519524758","40.1218906770764",c(-74.9862519524758, 40.1218906770764)
"94","2681 FOXGLOVE LN",0.02,0.03,0.04,0.06,0.1,0.24,0.32,0.42,0.52,0.62,0.24,0.32,0.42,0.52,0.62,"Byberry","-74.9860201119523","40.1212854721841",c(-74.9860201119523, 40.1212854721841)
"95","15092 WILDFLOWER WAY",0.02,0.03,0.04,0.06,0.09,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Byberry","-74.9873334271548","40.1193009665478",c(-74.9873334271548, 40.1193009665478)
"96","2680 BLUEBELL CT",0.02,0.03,0.05,0.07,0.11,0.21,0.29,0.38,0.49,0.59,0.21,0.29,0.38,0.49,0.59,"Byberry","-74.9852357825289","40.1221597148916",c(-74.9852357825289, 40.1221597148916)
