"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"81","3402 LESTER RD",0.02,0.03,0.04,0.07,0.1,0.14,0.19,0.27,0.36,0.46,0.14,0.19,0.27,0.36,0.46,"Parkwood Manor","-74.9683825096572","40.099024011603",c(-74.9683825096572, 40.099024011603)
"82","12131 MEDFORD RD",0.02,0.03,0.05,0.08,0.12,0.23,0.31,0.4,0.51,0.61,0.23,0.31,0.4,0.51,0.61,"Parkwood Manor","-74.9799726437438","40.0965861137781",c(-74.9799726437438, 40.0965861137781)
"83","12602 BISCAYNE DR",0.02,0.03,0.04,0.06,0.1,0.16,0.23,0.31,0.4,0.51,0.16,0.23,0.31,0.4,0.51,"Parkwood Manor","-74.9659814584979","40.0926640725572",c(-74.9659814584979, 40.0926640725572)
"84","3137 BELGREEN RD",0.02,0.03,0.05,0.07,0.11,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Parkwood Manor","-74.9753292803437","40.1025034306341",c(-74.9753292803437, 40.1025034306341)
"85","12232 MEDFORD RD",0.04,0.05,0.08,0.13,0.19,0.19,0.26,0.34,0.44,0.55,0.19,0.26,0.34,0.44,0.55,"Parkwood Manor","-74.9787042769556","40.0983404180233",c(-74.9787042769556, 40.0983404180233)
"86","12626 RAMER RD",0.01,0.02,0.03,0.05,0.08,0.17,0.24,0.32,0.42,0.53,0.17,0.24,0.32,0.42,0.53,"Parkwood Manor","-74.9704998791199","40.099188008892",c(-74.9704998791199, 40.099188008892)
"87","13037 TOWNSEND RD",0.03,0.05,0.07,0.11,0.16,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Parkwood Manor","-74.979905190626","40.1047062577702",c(-74.979905190626, 40.1047062577702)
"88","12623 NANTON DR",0.02,0.03,0.04,0.06,0.09,0.23,0.31,0.4,0.51,0.61,0.23,0.31,0.4,0.51,0.61,"Parkwood Manor","-74.9652236371702","40.0951787057096",c(-74.9652236371702, 40.0951787057096)
"89","3646 CANBY DR",0.01,0.02,0.03,0.05,0.07,0.16,0.22,0.31,0.4,0.5,0.16,0.22,0.31,0.4,0.5,"Parkwood Manor","-74.9663313045288","40.0944854958284",c(-74.9663313045288, 40.0944854958284)
"90","11849 COLMAN TER",0.03,0.04,0.06,0.1,0.14,0.24,0.32,0.42,0.52,0.63,0.24,0.32,0.42,0.52,0.63,"Parkwood Manor","-74.985606904071","40.0945816405047",c(-74.985606904071, 40.0945816405047)
